trade_date,symbol,name,open,high,low,close,volume,amount
2021-01-04,600519.SH,贵州茅台,1753.0029815472099,1757.3942979291494,1738.8298107096923,1750.390980984699,43514,8686920261.0
2021-01-05,600519.SH,贵州茅台,1744.2554091935658,1805.1290464641652,1737.6465218642595,1805.1290464641652,52116,10592557370.0
2021-01-06,600519.SH,贵州茅台,1809.818376333103,1862.584293736848,1784.6011762715455,1840.6715373399438,47410,9882593867.0
2021-01-07,600519.SH,贵州茅台,1838.0420065723154,1875.7319475749903,1818.7587809430397,1875.7319475749903,37931,7991178754.0
2021-01-08,600519.SH,贵州茅台,1877.4849680867426,1885.2683791589232,1808.2581880776431,1831.906434781182,53862,11345202869.0
2021-01-11,600519.SH,贵州茅台,1831.906434781182,1884.93530526169,1804.3840127466706,1840.4348795708572,51080,10768565415.0
2021-01-12,600519.SH,贵州茅台,1830.1534142694297,1894.0510119228022,1827.5238835018013,1894.0510119228022,41059,8800558288.0
2021-01-13,600519.SH,贵州茅台,1896.7681937160182,1904.9460344033428,1871.3493962956095,1896.7681937160182,34390,7418330854.0
2021-01-14,600519.SH,贵州茅台,1889.756111669009,1895.891683460142,1854.7921175621088,1870.4728860397333,36152,7722089684.0
2021-01-15,600519.SH,贵州茅台,1853.8191911780862,1870.77966462929,1778.439309172736,1824.8943527341728,59509,12372103227.0
2021-01-18,600519.SH,贵州茅台,1806.5402279761258,1833.2036699598789,1788.3175797564604,1808.2406578725256,39144,8076715790.0
2021-01-19,600519.SH,贵州茅台,1817.102176559434,1837.428449393202,1759.0246070050791,1761.2684732601222,46345,9479278513.0
2021-01-20,600519.SH,贵州茅台,1760.0325937993366,1801.6580658508956,1737.6815822744945,1788.633123448576,45082,9126453277.0
2021-01-21,600519.SH,贵州茅台,1795.0930040343833,1831.9239649862996,1788.9574322432502,1814.376229663659,38310,7953455967.0
2021-01-22,600519.SH,贵州茅台,1813.4997194077828,1840.6715373399438,1805.6987781304847,1823.0975067096265,29248,6090260364.0
2021-01-25,600519.SH,贵州茅台,1825.770862990049,1910.3541026820988,1825.770862990049,1906.409806530656,55957,12029474558.0
2021-01-26,600519.SH,贵州茅台,1915.1749090894177,1916.92792960117,1862.6807098649945,1877.388551958596,31747,6820173362.0
2021-01-27,600519.SH,贵州茅台,1877.388551958596,1877.388551958596,1827.5238835018013,1831.029924525306,37120,7809446387.0
2021-01-28,600519.SH,贵州茅台,1823.1413322224205,1849.1386264117075,1805.6286573100147,1830.1534142694297,35129,7337084455.0
2021-01-29,600519.SH,贵州茅台,1841.7145845444365,1884.0412648006964,1832.0992670374746,1854.85347328002,33701,7166179277.0
2021-02-01,600519.SH,贵州茅台,1866.9668450162287,1893.2621526925136,1836.288986060563,1848.8406129247098,29341,6219639111.0
2021-02-02,600519.SH,贵州茅台,1851.3824926667503,1884.488285031193,1842.5122088772837,1880.114498854371,34582,7372233582.0
2021-02-03,600519.SH,贵州茅台,1884.497050133752,1926.8062001848944,1875.7319475749903,1919.4785744457695,38714,8384049313.0
2021-02-04,600519.SH,贵州茅台,1920.4339706246747,2042.2688961914614,1920.4339706246747,2034.2488273501945,63851,14596930188.0
2021-02-05,600519.SH,贵州茅台,2037.8863449120806,2072.5961510447764,2008.0849962122911,2027.3682218415665,39729,9253566205.0
2021-02-08,600519.SH,贵州茅台,2048.4044679825947,2085.112717498688,2027.3682218415665,2076.2774941194566,35786,8420758625.0
2021-02-09,600519.SH,贵州茅台,2076.2774941194566,2153.086087841885,2059.7991013089845,2153.086087841885,33297,7972930045.0
2021-02-10,600519.SH,贵州茅台,2178.1279858522666,2279.9784775850767,2178.1279858522666,2279.8031755339016,61371,15675929714.0
2021-02-18,600519.SH,贵州茅台,2268.3910120023943,2303.363771211853,2160.5977807347435,2165.8568422700005,65912,16704135269.0
