trade_date,symbol,name,open,high,low,close,volume,amount
2021-01-04,601111.SH,中国国航,7.41,7.48,7.3,7.4,590179,435367757.0
2021-01-05,601111.SH,中国国航,7.35,7.46,7.24,7.39,689044,507276197.0
2021-01-06,601111.SH,中国国航,7.39,7.52,7.32,7.35,646403,477682732.0
2021-01-07,601111.SH,中国国航,7.29,7.4,7.15,7.2,607557,440400990.0
2021-01-08,601111.SH,中国国航,7.15,7.31,7.12,7.3,479453,347706557.0
2021-01-11,601111.SH,中国国航,7.24,7.32,6.85,6.86,1394601,977567982.0
2021-01-12,601111.SH,中国国航,6.88,7.09,6.82,7.09,712331,496561279.0
2021-01-13,601111.SH,中国国航,7.05,7.26,7.0,7.15,566963,404592922.0
2021-01-14,601111.SH,中国国航,7.1,7.27,7.08,7.12,408458,292140381.0
2021-01-15,601111.SH,中国国航,7.12,7.17,7.02,7.08,461759,326922898.0
2021-01-18,601111.SH,中国国航,7.05,7.12,6.99,7.08,366323,258562318.0
2021-01-19,601111.SH,中国国航,7.08,7.32,7.03,7.2,708566,511277175.0
2021-01-20,601111.SH,中国国航,7.2,7.24,7.11,7.15,352823,252647492.0
2021-01-21,601111.SH,中国国航,7.09,7.12,7.01,7.07,572767,404613483.0
2021-01-22,601111.SH,中国国航,7.04,7.04,6.95,6.97,485420,339035071.0
2021-01-25,601111.SH,中国国航,6.95,6.99,6.87,6.97,463014,321336822.0
2021-01-26,601111.SH,中国国航,6.99,7.08,6.94,7.05,488972,342964992.0
2021-01-27,601111.SH,中国国航,7.01,7.16,6.98,7.11,555898,393303477.0
2021-01-28,601111.SH,中国国航,7.06,7.1,6.93,6.95,425192,297549200.0
2021-01-29,601111.SH,中国国航,7.02,7.36,6.99,7.2,1107651,797944411.0
2021-02-01,601111.SH,中国国航,7.05,7.4,6.91,7.28,830985,596952262.0
2021-02-02,601111.SH,中国国航,7.21,7.32,7.1,7.19,525597,378375192.0
2021-02-03,601111.SH,中国国航,7.15,7.24,7.04,7.07,450892,320625993.0
2021-02-04,601111.SH,中国国航,7.04,7.16,6.96,7.01,468638,329521114.0
2021-02-05,601111.SH,中国国航,7.03,7.38,6.99,7.37,1108668,803736386.0
2021-02-08,601111.SH,中国国航,7.36,7.81,7.32,7.77,1435629,1095359395.0
2021-02-09,601111.SH,中国国航,7.75,7.84,7.6,7.84,698332,539519259.0
2021-02-10,601111.SH,中国国航,7.76,7.82,7.63,7.79,700688,542341677.0
2021-02-18,601111.SH,中国国航,7.96,8.18,7.78,8.09,1172564,940868905.0
