trade_date,symbol,name,open,high,low,close,volume,amount
2021-01-04,600887.SH,伊利股份,35.887084879881286,38.622871619603174,35.54108832162234,38.10789999800846,875387,4067206463.0
2021-01-05,600887.SH,伊利股份,38.70333593547735,41.72074778075885,38.70333593547735,40.98047607471645,1252763,6279953468.0
2021-01-06,600887.SH,伊利股份,41.439122675199236,41.72074778075885,39.66890772596742,40.68275810598201,978357,4924778416.0
2021-01-07,600887.SH,伊利股份,40.714943832331684,41.71270134917143,39.7976506313661,41.59200487536017,983551,4945582209.0
2021-01-08,600887.SH,伊利股份,41.27819404345089,41.72074778075885,39.17002896754755,39.64476843120518,1135580,5646536745.0
2021-01-11,600887.SH,伊利股份,39.42751477834491,40.360900842485314,38.638964482778015,39.137843241197885,906448,4452408232.0
2021-01-12,600887.SH,伊利股份,39.18612183072239,40.23215793708664,39.025193198974044,39.96662569470187,612858,3026984103.0
2021-01-13,600887.SH,伊利股份,40.087322168513126,40.63447951645751,38.6791966407151,39.0976110832608,778076,3821127309.0
2021-01-14,600887.SH,伊利股份,38.735521661827015,39.46774693628199,37.60902123958859,37.77799630292436,811710,3847490760.0
2021-01-15,600887.SH,伊利股份,37.29521040767932,37.97111066102237,36.85265667037136,37.536603355301835,697654,3239843527.0
2021-01-18,600887.SH,伊利股份,37.536603355301835,38.815985977701196,37.536603355301835,38.22859647181973,706756,3354358894.0
2021-01-19,600887.SH,伊利股份,38.22859647181973,38.27687506134423,36.98944600735746,37.126235344343556,638229,2970963317.0
2021-01-20,600887.SH,伊利股份,37.11818891275614,37.335442565616404,36.61931015433626,37.14232820751838,651725,2997057193.0
2021-01-21,600887.SH,伊利股份,37.25497824974223,37.49637119736475,36.225035006552815,37.21474609180514,986226,4523282666.0
2021-01-22,600887.SH,伊利股份,37.021631733707125,37.810182029274024,36.51470654369984,37.045771028469375,1194439,5498601927.0
2021-01-25,600887.SH,伊利股份,37.126235344343556,39.363143325645574,37.126235344343556,39.29072544135881,1520551,7220524557.0
2021-01-26,600887.SH,伊利股份,38.63091805119059,38.78380025135152,37.48027833418991,37.810182029274024,943225,4468032608.0
2021-01-27,600887.SH,伊利股份,37.97111066102237,37.97915709260979,36.37791720671374,37.18256036545547,827595,3802346331.0
2021-01-28,600887.SH,伊利股份,36.69172803862302,36.9170281230707,35.146813173838886,35.436484710985916,966818,4312064396.0
2021-01-29,600887.SH,伊利股份,35.6617847954336,36.00778135369254,35.06634885796471,35.56522761638459,776633,3433198000.0
2021-02-01,600887.SH,伊利股份,36.04801351162963,36.16066355385347,35.32383466876207,35.60545977432168,533560,2369515589.0
2021-02-02,600887.SH,伊利股份,35.60545977432168,36.522752975287254,35.33992753193691,36.19284928020314,770515,3445334724.0
2021-02-03,600887.SH,伊利股份,36.32159218560182,36.32963861718923,34.63988798383159,34.8249559103422,1307609,5694160641.0
2021-02-04,600887.SH,伊利股份,34.81690947875478,35.6617847954336,34.334123583509744,35.18704533177598,794959,3471513059.0
2021-02-05,600887.SH,伊利股份,35.549134753209756,36.297452890839565,35.122673879076636,35.5249954584475,797592,3544478717.0
2021-02-08,600887.SH,伊利股份,35.9434099009932,36.82047094402169,35.621552637496514,36.788285217672026,894398,4038576136.0
2021-02-09,600887.SH,伊利股份,36.884842396721034,37.359581860378654,36.385963638301156,37.02967816529455,848014,3888251505.0
2021-02-10,600887.SH,伊利股份,37.02967816529455,37.69753198705018,36.635403017511095,37.40786044990316,853235,3940105441.0
2021-02-18,600887.SH,伊利股份,38.301014356106485,38.51022157737933,36.402056501476,36.85265667037136,942512,4355426391.0
2021-02-19,600887.SH,伊利股份,36.98944600735746,38.92863601992504,36.43424222782566,38.815985977701196,1133566,5329460614.0
2021-02-22,600887.SH,伊利股份,38.83207884087602,38.840125272463446,37.09404961799388,37.48027833418991,1020002,4811856219.0
2021-02-23,600887.SH,伊利股份,37.00553887053229,37.26302468132965,36.208942143377975,36.21698857496539,720022,3282304918.0
2021-02-24,600887.SH,伊利股份,36.48252081735017,36.82047094402169,35.08244172113955,35.56522761638459,697348,3110199409.0
2021-02-25,600887.SH,伊利股份,35.72615624813294,36.208942143377975,35.259463216062734,35.484763300510416,511446,2272170406.0
2021-02-26,600887.SH,伊利股份,34.59965582589451,35.243370352887894,34.285844993985236,34.77667732081769,577813,2498615218.0
2021-03-01,600887.SH,伊利股份,35.08244172113955,35.38015968987399,34.8249559103422,35.243370352887894,459895,2008060407.0
