trade_date,symbol,name,open,high,low,close,volume,amount
2021-01-04,300394.SZ,天孚通信,10.270532064548986,10.589932223725835,10.262881761335167,10.391024340166599,37098,202015098.0
2021-01-05,300394.SZ,天孚通信,10.51916691899803,10.754413742822894,10.329821914456065,10.486653130339308,39582,217734196.0
2021-01-06,300394.SZ,天孚通信,10.490478281946217,10.561243586674022,9.905230086089237,9.91670554090996,59389,314841888.0
2021-01-07,300394.SZ,天孚通信,9.89757978287542,9.991295997244675,9.289380677376988,9.440474165849869,47791,237550560.0
2021-01-08,300394.SZ,天孚通信,9.379271740139334,9.779000083061261,9.333369920856434,9.430911286832599,52350,260664711.0
2021-01-11,300394.SZ,天孚通信,9.430911286832599,9.71971023315418,9.18992673559737,9.513152046381128,44399,220695327.0
2021-01-12,300394.SZ,天孚通信,9.41369810460151,9.677633565478189,9.237741130683725,9.287468101573534,54881,268886592.0
2021-01-13,300394.SZ,天孚通信,9.300856132197714,9.620256291374561,9.16697582595592,9.572441896288208,49133,241686233.0
2021-01-14,300394.SZ,天孚通信,9.580092199502024,9.87080372162706,9.440474165849869,9.559053865664028,58599,295606093.0
2021-01-15,300394.SZ,天孚通信,9.562879017270937,9.656595231640193,9.348670527284067,9.576267047895115,37866,188521500.0
2021-01-18,300394.SZ,天孚通信,9.557141289860574,10.19020388080391,9.339107648266797,10.062061301972479,50752,260558247.0
2021-01-19,300394.SZ,天孚通信,10.019984634296488,10.098400242238109,9.45003704486714,9.484463409329315,57911,294255430.0
2021-01-20,300394.SZ,天孚通信,9.524627501201852,9.71014735413691,9.375446588532427,9.65085750422983,30541,152958049.0
2021-01-21,300394.SZ,天孚通信,9.574354472091661,9.68337129288855,9.457687348080956,9.534190380219124,32295,161309193.0
2021-01-22,300394.SZ,天孚通信,9.606868260750382,9.694846747709274,8.89347748606197,9.07517218739012,62110,296059009.0
2021-01-25,300394.SZ,天孚通信,8.991018852038135,9.15358779533174,8.767247483033994,8.81506187812035,43415,201953531.0
2021-01-26,300394.SZ,天孚通信,8.899215213472333,8.918340971506876,8.434459293232965,8.50522459796077,61020,275012922.0
2021-01-27,300394.SZ,天孚通信,8.568339599474758,9.421348407815326,8.537738386619493,9.367796285318608,76795,364686758.0
2021-01-28,300394.SZ,天孚通信,9.316156738625347,9.518889773791491,9.199489614614642,9.283642949966625,43645,213746659.0
2021-01-29,300394.SZ,天孚通信,9.448124469063686,9.562879017270937,9.07517218739012,9.392659770763514,37292,181991898.0
2021-02-01,300394.SZ,天孚通信,9.33528249665989,9.461512499687863,8.948942184362142,9.115336279262657,40693,194096389.0
2021-02-02,300394.SZ,天孚通信,9.142112340511014,9.237741130683725,8.989106276234681,9.11151112765575,29333,139938250.0
2021-02-03,300394.SZ,天孚通信,9.128724309886836,9.128724309886836,8.673531268664739,8.686919299288919,38777,179952212.0
2021-02-04,300394.SZ,天孚通信,8.606591115543843,8.685006723485463,7.889375189248523,8.071069890576672,78488,333974924.0
2021-02-05,300394.SZ,天孚通信,8.139922619501021,8.185824438783921,7.650303213816749,7.69620503309965,45520,187115887.0
2021-02-08,300394.SZ,天孚通信,7.765057762024001,7.948665039155602,7.596751091320032,7.755494883006729,38961,158770759.0
2021-02-09,300394.SZ,天孚通信,7.722981094348008,8.004129737455774,7.612051697747665,7.960140493976327,29976,123154406.0
2021-02-10,300394.SZ,天孚通信,7.994566858438502,8.507137173764225,7.837735642555259,8.34074307886371,49741,214350426.0
2021-02-18,300394.SZ,天孚通信,8.415333535198425,8.771072634640904,8.392382625556975,8.650580359023289,33672,151023908.0
2021-02-19,300394.SZ,天孚通信,8.702219905716552,9.134462037297197,8.5874653575093,8.97954339721741,34527,160371518.0
2021-02-22,300394.SZ,天孚通信,9.015882337483038,9.11724885506611,8.805498999103078,8.836100211958346,34445,160870605.0
2021-02-23,300394.SZ,天孚通信,8.941291881148326,9.063696732569394,8.662055813844015,8.740471421785637,25683,118749563.0
2021-02-24,300394.SZ,天孚通信,8.730908542768365,8.885827182848155,8.616153994561113,8.707957633126915,24797,113572513.0
2021-02-25,300394.SZ,天孚通信,8.855225969992887,8.855225969992887,8.52243778019186,8.528175507602223,18376,82866277.0
2021-02-26,300394.SZ,天孚通信,8.489923991533137,8.700307329913098,8.401945504574245,8.55112641724367,22123,99108257.0
2021-03-01,300394.SZ,天孚通信,8.56451444786785,8.853313394189433,8.514787476978043,8.77872293785472,28686,130895927.0
2021-03-02,300394.SZ,天孚通信,8.77872293785472,8.849488242582526,8.547301265636763,8.627629449381839,20004,90334172.0
2021-03-03,300394.SZ,天孚通信,8.644842631612928,8.656318086433652,8.338830503060256,8.476535960908958,26509,117535517.0
2021-03-04,300394.SZ,天孚通信,8.507137173764225,8.635279752595656,8.252764591904818,8.269977774135906,22305,97962373.0
2021-03-05,300394.SZ,天孚通信,8.222163379049551,8.35413110948789,8.164786104945925,8.247026864494455,19200,82863305.0
2021-03-08,300394.SZ,天孚通信,8.319704745025716,8.466973081891688,7.985003979421232,8.015605192276498,23669,102311741.0
2021-03-09,300394.SZ,天孚通信,7.986916555224686,8.013692616473044,7.650303213816749,7.678991850868561,24977,101945677.0
2021-03-10,300394.SZ,天孚通信,7.745932003989458,7.776533216844725,7.541286393019861,7.573800181678582,22300,88738567.0
2021-03-11,300394.SZ,天孚通信,7.556586999447494,7.694292457296195,7.455220481864422,7.677079275065108,24730,98094854.0
2021-03-12,300394.SZ,天孚通信,7.684729578278924,7.688554729885833,7.468608512488601,7.592925939713124,17010,67186007.0
2021-03-15,300394.SZ,天孚通信,7.583363060695852,7.627352304175299,7.302214417588087,7.430356996419518,22623,87631181.0
2021-03-16,300394.SZ,天孚通信,7.49538457373696,7.55467442364404,7.290738962767361,7.363416843298621,25279,97635516.0
2021-03-17,300394.SZ,天孚通信,7.380630025529709,7.566149878464765,7.273525780536274,7.392105480350434,25508,98932945.0
2021-03-18,300394.SZ,天孚通信,7.436094723829881,7.455220481864422,7.275438356339729,7.288826386963907,20138,77214223.0
2021-03-19,300394.SZ,天孚通信,7.279263507946637,7.405493510974613,7.116694564653031,7.175984414560111,21182,80492767.0
2021-03-22,300394.SZ,天孚通信,7.168334111346294,7.464783360881693,7.149208353311753,7.418881541598792,30466,117545536.0
2021-03-23,300394.SZ,天孚通信,7.39975578356425,7.701942760510013,7.348116236870988,7.516422907574955,45117,178393608.0
2021-03-24,300394.SZ,天孚通信,7.455220481864422,7.600576242926941,7.353853964281351,7.453307906060967,27639,108289200.0
2021-03-25,300394.SZ,天孚通信,7.4513953302575135,7.6713415476547455,7.382542601333164,7.62352715256839,21010,83180708.0
2021-03-26,300394.SZ,天孚通信,7.724893670151463,7.732543973365279,7.541286393019861,7.642652910602933,29817,119170362.0
2021-03-29,300394.SZ,天孚通信,7.606313970337303,7.780358368451634,7.5814504848923985,7.608226546140758,21208,84848345.0
2021-03-30,300394.SZ,天孚通信,7.631177455782207,7.724893670151463,7.573800181678582,7.642652910602933,19251,77170414.0
2021-03-31,300394.SZ,天孚通信,7.701942760510013,7.935277008531424,7.594838515516578,7.898938068265793,23476,95875608.0
2021-04-01,300394.SZ,天孚通信,7.8970254924623395,7.929539281121061,7.8071344296999925,7.904675795676156,14583,60020211.0
2021-04-02,300394.SZ,天孚通信,7.937189584334877,8.195387317801194,7.895112916658886,8.013692616473044,28062,118594584.0
2021-04-06,300394.SZ,天孚通信,8.015605192276498,8.067244738969762,7.872162007017434,7.927626705317607,14361,59746131.0
2021-04-07,300394.SZ,天孚通信,7.906588371479611,7.996479434241958,7.721068518544554,7.837735642555259,24723,100979842.0
2021-04-08,300394.SZ,天孚通信,7.868336855410527,7.906588371479611,7.690467305689287,7.692379881492741,14473,58801863.0
2021-04-09,300394.SZ,天孚通信,7.751669731399821,7.765057762024001,7.621614576764936,7.667516396047837,13033,52345090.0
2021-04-12,300394.SZ,天孚通信,7.65986609283402,7.717243366937646,7.430356996419518,7.47243366409551,13912,54839008.0
2021-04-13,300394.SZ,天孚通信,7.493471997933506,7.543198968823314,7.388280328743526,7.416968965795339,11177,43605130.0
2021-04-14,300394.SZ,天孚通信,7.395930631957342,7.755494883006729,7.348116236870988,7.69620503309965,17761,70679647.0
2021-04-15,300394.SZ,天孚通信,7.69620503309965,7.88363746183816,7.592925939713124,7.799484126486176,13574,55165012.0
2021-04-16,300394.SZ,天孚通信,7.799484126486176,7.851123673179439,7.65986609283402,7.677079275065108,19353,77954253.0
2021-04-19,300394.SZ,天孚通信,7.745932003989458,7.918063826300335,7.669428971851291,7.912326098889972,17641,72136157.0
2021-04-20,300394.SZ,天孚通信,7.927626705317607,7.927626705317607,7.606313970337303,7.610139121944211,24254,97856894.0
2021-04-21,300394.SZ,天孚通信,7.566149878464765,7.5986636671234855,7.45904563347133,7.506860028557685,12949,50752699.0
2021-04-22,300394.SZ,天孚通信,7.514510331771501,7.935277008531424,7.485821694719689,7.864511703803617,26428,107045865.0
2021-04-23,300394.SZ,天孚通信,8.28145322895663,9.078997338997027,8.28145322895663,8.59129050911621,92917,423457938.0
2021-04-26,300394.SZ,天孚通信,8.568339599474758,8.853313394189433,8.491836567336591,8.753859452409817,61900,281068832.0
2021-04-27,300394.SZ,天孚通信,8.759597179820178,9.038833247124488,8.740471421785637,8.818887029727257,47630,221029853.0
2021-04-28,300394.SZ,天孚通信,8.828449908744528,8.845663090975616,8.663968389647469,8.721345663751094,30931,141455248.0
2021-04-29,300394.SZ,天孚通信,8.681181571878556,8.76916005883745,8.562601872064397,8.585552781705847,27739,125270353.0
2021-04-30,300394.SZ,天孚通信,8.572164751081667,8.641017480006019,8.147572922714838,8.147572922714838,43893,190787453.0
2021-05-06,300394.SZ,天孚通信,8.224075954853005,8.356043685291343,8.1074088308423,8.225988530656458,27136,117079792.0
2021-05-07,300394.SZ,天孚通信,8.23555140967373,8.28527838056354,7.937189584334877,7.94292731174524,21384,90331139.0
2021-05-10,300394.SZ,天孚通信,7.919976402103789,7.986916555224686,7.627352304175299,7.7000301847065575,35372,143687095.0
2021-05-11,300394.SZ,天孚通信,7.6330900315856605,7.766970337827455,7.55467442364404,7.640740334799479,31930,127647257.0
2021-05-12,300394.SZ,天孚通信,7.738281700775642,7.868336855410527,7.592925939713124,7.810959581306902,27128,110170889.0
2021-05-13,300394.SZ,天孚通信,7.726806245954917,8.24893944029791,7.688554729885833,8.080632769593942,43824,185335448.0
2021-05-14,300394.SZ,天孚通信,8.113146558252662,8.31779216922226,8.074895042183579,8.28145322895663,31630,135990530.0
2021-05-17,300394.SZ,天孚通信,8.224075954853005,8.35030595788098,8.185824438783921,8.277628077349723,34283,148025490.0
2021-05-18,300394.SZ,天孚通信,8.302491562794627,8.35413110948789,8.065332163166309,8.302491562794627,27753,119454244.0
