trade_date,symbol,name,open,high,low,close,volume,amount
2021-01-04,600115.SH,中国东航,4.64,4.65,4.57,4.62,415497,191096217.0
2021-01-05,600115.SH,中国东航,4.58,4.61,4.5,4.61,400634,182343305.0
2021-01-06,600115.SH,中国东航,4.59,4.64,4.56,4.61,309782,142319511.0
2021-01-07,600115.SH,中国东航,4.58,4.62,4.5,4.53,370385,168356171.0
2021-01-08,600115.SH,中国东航,4.52,4.6,4.51,4.59,248823,113641898.0
2021-01-11,600115.SH,中国东航,4.55,4.59,4.47,4.49,375568,169705620.0
2021-01-12,600115.SH,中国东航,4.48,4.55,4.46,4.55,269802,121589103.0
2021-01-13,600115.SH,中国东航,4.54,4.61,4.5,4.6,343399,156707822.0
2021-01-14,600115.SH,中国东航,4.58,4.65,4.56,4.61,309272,142546052.0
2021-01-15,600115.SH,中国东航,4.6,4.64,4.56,4.58,285006,131011425.0
2021-01-18,600115.SH,中国东航,4.56,4.59,4.52,4.58,261061,119077497.0
2021-01-19,600115.SH,中国东航,4.57,4.7,4.54,4.65,360974,167658579.0
2021-01-20,600115.SH,中国东航,4.64,4.68,4.57,4.61,297784,137535685.0
2021-01-21,600115.SH,中国东航,4.56,4.6,4.55,4.58,251650,115145958.0
2021-01-22,600115.SH,中国东航,4.56,4.57,4.48,4.51,298341,134647749.0
2021-01-25,600115.SH,中国东航,4.48,4.49,4.43,4.46,304748,135894525.0
2021-01-26,600115.SH,中国东航,4.46,4.54,4.44,4.52,320024,143708347.0
2021-01-27,600115.SH,中国东航,4.52,4.58,4.5,4.54,265267,120262053.0
2021-01-28,600115.SH,中国东航,4.53,4.53,4.46,4.49,185639,83467362.0
2021-01-29,600115.SH,中国东航,4.53,4.69,4.5,4.59,506170,232679632.0
2021-02-01,600115.SH,中国东航,4.51,4.72,4.43,4.71,673701,312417252.0
2021-02-02,600115.SH,中国东航,4.62,4.71,4.6,4.62,354960,165067532.0
2021-02-03,600115.SH,中国东航,4.63,4.65,4.55,4.58,274450,125694263.0
2021-02-04,600115.SH,中国东航,4.56,4.61,4.45,4.5,303326,137013566.0
2021-02-05,600115.SH,中国东航,4.5,4.75,4.49,4.71,761937,353962769.0
2021-02-08,600115.SH,中国东航,4.7,4.87,4.68,4.85,734799,353075317.0
2021-02-09,600115.SH,中国东航,4.82,4.84,4.74,4.8,389182,186057231.0
2021-02-10,600115.SH,中国东航,4.77,4.79,4.72,4.75,237144,112563523.0
2021-02-18,600115.SH,中国东航,4.85,4.92,4.78,4.84,467170,226687980.0
2021-02-19,600115.SH,中国东航,4.84,4.93,4.8,4.87,432829,210772983.0
2021-02-22,600115.SH,中国东航,4.88,4.95,4.82,4.92,548342,268792407.0
2021-02-23,600115.SH,中国东航,4.91,5.1,4.89,5.02,808956,406629620.0
2021-02-24,600115.SH,中国东航,5.06,5.14,4.81,4.91,756792,375830271.0
2021-02-25,600115.SH,中国东航,4.95,5.02,4.83,4.87,545446,267243493.0
2021-02-26,600115.SH,中国东航,4.8,4.88,4.72,4.72,549071,262431043.0
2021-03-01,600115.SH,中国东航,4.74,4.84,4.72,4.77,355960,170048476.0
2021-03-02,600115.SH,中国东航,4.81,4.82,4.71,4.74,283571,134940878.0
2021-03-03,600115.SH,中国东航,4.73,4.96,4.71,4.92,557188,271809958.0
2021-03-04,600115.SH,中国东航,4.88,4.96,4.88,4.92,317036,156076204.0
2021-03-05,600115.SH,中国东航,4.89,4.92,4.79,4.88,326962,159102654.0
2021-03-08,600115.SH,中国东航,4.89,5.01,4.81,4.82,337404,165414979.0
2021-03-09,600115.SH,中国东航,4.89,5.07,4.83,5.0,918227,456803386.0
2021-03-10,600115.SH,中国东航,4.96,5.04,4.91,4.91,516199,255892872.0
